Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Lathyrus japonicus,Sea Pea,1996,1996,L82,L8421,L846213,"Dog Island, Lettermullan",North end of Dog Island,Herbarium and Literature Database 19/02/2013,EIRE000100003NCC,
Hypericum hirsutum,Hairy St John's-wort,September 1892,1892,O13,,O13,"Drimnagh, hedges",Hedges,Herbarium and Literature Database 19/02/2013,EIRE000100003NCF,
Hordeum secalinum,Meadow Barley,1991,1991,O25,,O25,East of Turvey Bridge,"Green road in agricutural land, east of Turvey Bridge",Herbarium and Literature Database 19/02/2013,EIRE000100003NCJ,
Lathyrus japonicus,Sea Pea,10/06/2006,2006,W23,W2935,W2935,Greggane Strand,"(The Warren), near Ross Carbery",Herbarium and Literature Database 19/02/2013,EIRE000100003NCK,
Lathyrus japonicus,Sea Pea,Jul-45,1945,V79,,V79,Killorglin Bay,Sandhills,Herbarium and Literature Database 19/02/2013,EIRE000100003NCN,
Lathyrus japonicus,Sea Pea,Jul-45,1945,V79,,V79,Killorglin Bay,Sandhills,Herbarium and Literature Database 19/02/2013,EIRE000100003NCO,
Hypericum hirsutum,Hairy St John's-wort,22/08/1953,1953,O03,,O03,Luttrelstown,,Herbarium and Literature Database 19/02/2013,EIRE000100003ND4,
Hypericum hirsutum,Hairy St John's-wort,1985,1985,O03,,O03,Luttrelstown,"Luttrellstown, woods",Herbarium and Literature Database 19/02/2013,EIRE000100003ND5,
Hypericum hirsutum,Hairy St John's-wort,1986,1986,O03,,O03,Luttrelstown,"Luttrellstown, woods",Herbarium and Literature Database 19/02/2013,EIRE000100003ND6,
Hammarbya paludosa,Bog Orchid,1980,1980,L84,L8042,L803425,Near Cashel,,Herbarium and Literature Database 19/02/2013,EIRE000100003ND7,
Hammarbya paludosa,Bog Orchid,Aug-99,1999,G42,G4523,G450238,Near Lough Easky,,Herbarium and Literature Database 19/02/2013,EIRE000100003ND9,
Hypericum hirsutum,Hairy St John's-wort,1990,1990,O03,,O03,North of King's Hospital School,North of the River Liffey,Herbarium and Literature Database 19/02/2013,EIRE000100003NDD,
Hordeum secalinum,Meadow Barley,1983,1983,O25,,O25,North of Turvey House,On a salt-marsh north of Turvey House,Herbarium and Literature Database 19/02/2013,EIRE000100003NDE,
Hordeum secalinum,Meadow Barley,1991,1991,O25,,O25,North of Turvey House,On a salt-marsh north of Turvey House,Herbarium and Literature Database 19/02/2013,EIRE000100003NDF,
Hordeum secalinum,Meadow Barley,Aug-90,1990,R26,R2963,R2963,Opposite Inismore Island,"Ballynacally, Killadysert, on earth bank of slipway",Herbarium and Literature Database 19/02/2013,EIRE000100003NDH,
Hordeum secalinum,Meadow Barley,30/08/1990,1990,R26,R2963,R2963,Opposite Inismore Island,"Ballynacally, on earth by shipway, Kildysert",Herbarium and Literature Database 19/02/2013,EIRE000100003NDI,
Juncus compressus,Round-fruited Rush,1986,1986,N07,N0576,N055765,Opposite Termonbarry,"At the margin of the grassy bank of the River Shannon, below the locks",Herbarium and Literature Database 19/02/2013,EIRE000100003NDJ,
Hordeum secalinum,Meadow Barley,24/09/1988,1988,R45,,R45,Pallaskenry,"North of, grassy sward beside saltmarsh beside Shannon estuary",Herbarium and Literature Database 19/02/2013,EIRE000100003NDM,
Juncus compressus,Round-fruited Rush,10/07/1988 - 17/07/1988,1988,M96,M9560,M959602,"Portrunny Bay, Lough Ree","S.E. of Roscommon town, just above flood-level on w. shore",Herbarium and Literature Database 19/02/2013,EIRE000100003NDN,
Juncus compressus,Round-fruited Rush,14/07/1988,1988,M96,M9560,M959602,"Portrunny Bay, Lough Ree","S.E. of Roscommon town, just above flood-level on w. shore",Herbarium and Literature Database 19/02/2013,EIRE000100003NDO,
Inula salicina,Irish Fleabane,1968,1968,M80,,,"Portumna, Lough Derg",,Herbarium and Literature Database 19/02/2013,EIRE000100003NDP,Yes
Hordeum secalinum,Meadow Barley,24/09/1988,1988,R45,R4057,R4057,Ringmoylan,,Herbarium and Literature Database 19/02/2013,EIRE000100003NDT,
Hordeum secalinum,Meadow Barley,24/07/1902,1902,R45,R4058,R4058,Ringmoylen,,Herbarium and Literature Database 19/02/2013,EIRE000100003NDU,
Hordeum secalinum,Meadow Barley,06/08/1968,1968,N97,,N97,Rosnaree,"S. bank of R. Boyne. Rosnaree, E. of Slane",Herbarium and Literature Database 19/02/2013,EIRE000100003NDX,
Juncus compressus,Round-fruited Rush,05/08/1968,1968,N97,N9972,N9972,Rosnaree,E. of Slane,Herbarium and Literature Database 19/02/2013,EIRE000100003NDY,
Juncus compressus,Round-fruited Rush,05/08/1968,1968,N97,N9972,N9972,Rosnaree,"E. of Slane, bank of R. Boyne",Herbarium and Literature Database 19/02/2013,EIRE000100003NDZ,
Lathyrus japonicus,Sea Pea,1970,1970,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE0,
Lathyrus japonicus,Sea Pea,1971,1971,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE1,
Lathyrus japonicus,Sea Pea,1972,1972,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE2,
Lathyrus japonicus,Sea Pea,1973,1973,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE3,
Lathyrus japonicus,Sea Pea,1974,1974,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE4,
Lathyrus japonicus,Sea Pea,1975,1975,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE5,
Lathyrus japonicus,Sea Pea,1976,1976,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE6,
Lathyrus japonicus,Sea Pea,1977,1977,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE7,
Lathyrus japonicus,Sea Pea,1978,1978,V69,,V69,Rossbeigh,"On the S. shore of Dingle, on sand dunes",Herbarium and Literature Database 19/02/2013,EIRE000100003NE8,
Hypericum hirsutum,Hairy St John's-wort,1984,1984,O03,,O03,St Catherine's Wood,,Herbarium and Literature Database 19/02/2013,EIRE000100003NED,
Juncus compressus,Round-fruited Rush,Jul-81,1981,N07,,N07,Termonbarry,On gravel by the water's edge just below the locks,Herbarium and Literature Database 19/02/2013,EIRE000100003NEH,
Inula salicina,Irish Fleabane,09/07/1973,1973,M80,,,Terryglass,"Carrigehorig shore L. Derg, on rock part of shore below the arboreal",Herbarium and Literature Database 19/02/2013,EIRE000100003NEI,Yes
Inula salicina,Irish Fleabane,10/07/1966,1966,M80,,,Terryglass Bay,"Rocky shore, about 1 mile N.W. of Carrigahorig,",Herbarium and Literature Database 19/02/2013,EIRE000100003NEJ,Yes
Lathyrus japonicus,Sea Pea,14/06/1982,1982,G48,G4880,G486801,W. of Malinbeg,"Shingle strand, below earth cliff",Herbarium and Literature Database 19/02/2013,EIRE000100003NEL,
Hammarbya paludosa,Bog Orchid,July 1884,1884,O12,,O12,Glencullen,Glendoo Mt.,Herbarium and Literature Database 19/02/2013,EIRE000100003NEN,
Hammarbya paludosa,Bog Orchid,1905,1905,O12,O1823,O180230,Three Rock Mountain,Near Ticknock (Herbarium National Museaum),Herbarium and Literature Database 19/02/2013,EIRE000100003NEO,
Hammarbya paludosa,Bog Orchid,28/07/1905,1905,O12,O1823,O180230,Three Rock Mountain,"Swampy hillside, near Foxrock",Herbarium and Literature Database 19/02/2013,EIRE000100003NEP,
Hammarbya paludosa,Bog Orchid,22/07/1955,1955,O12,O1020,O1020,Glenasmole,Castlekelly Bog,Herbarium and Literature Database 19/02/2013,EIRE000100003NEQ,
Hammarbya paludosa,Bog Orchid,1986,1986,O12,O1020,O1020,Glenasmole,Runnels at the bottom of the slope W of the River Dodder to SW of southern reservoir,Herbarium and Literature Database 19/02/2013,EIRE000100003NER,
Hammarbya paludosa,Bog Orchid,1994,1994,O12,O1020,O1020,Glenasmole,Runnels at the bottom of the slope W of the River Dodder to SW of southern reservoir,Herbarium and Literature Database 19/02/2013,EIRE000100003NES,
Hammarbya paludosa,Bog Orchid,1963,1963,O12,O1020,O1020,Bohernabreena,,Herbarium and Literature Database 19/02/2013,EIRE000100003NET,
Hammarbya paludosa,Bog Orchid,14/07/1963,1963,O12,O1020,O1020,Bohernabreena,,Herbarium and Literature Database 19/02/2013,EIRE000100003NEU,
Hammarbya paludosa,Bog Orchid,04/08/1894,1894,V75,V7853,V7853,Lauragh,Top of Kaemcoom Pass,Herbarium and Literature Database 19/02/2013,EIRE000100003NEV,
Helianthemum nummularium,Common Rock-rose,20/06/1988,1988,G96,,,Ballintra,,Herbarium and Literature Database 19/02/2013,EIRE000100003NEW,Yes
Hordeum secalinum,Meadow Barley,Aug-07,1907,R36,,R36,Deer Island,"Fergus Estuary, marshy meadow",Herbarium and Literature Database 19/02/2013,EIRE000100003NEX,
Hordeum secalinum,Meadow Barley,Aug-09,1909,R36,,R36,Deer Island,"Fergus Estuary, Swampy meadow",Herbarium and Literature Database 19/02/2013,EIRE000100003NEY,
Hordeum secalinum,Meadow Barley,1922,1922,O03,,O03,Scribblestown,,Herbarium and Literature Database 19/02/2013,EIRE000100003NEZ,
Hordeum secalinum,Meadow Barley,Jul-00,1900,R45,,R45,Newtown,Damp pasture,Herbarium and Literature Database 19/02/2013,EIRE000100003NF0,
Hordeum secalinum,Meadow Barley,Jun-33,1933,O17,,O17,Below Drogheda,"R. Boyne, Below Drogheda, roadside (saltmarsh)",Herbarium and Literature Database 19/02/2013,EIRE000100003NF1,
Hordeum secalinum,Meadow Barley,Jun-33,1933,O17,,O17,Below Drogheda,"R. Boyne, Below Drogheda, roadside (saltmarsh)",Herbarium and Literature Database 19/02/2013,EIRE000100003NF2,
Hordeum secalinum,Meadow Barley,Jun-33,1933,O17,,O17,Below Drogheda,"R. Boyne, Below Drogheda, roadside (saltmarsh)",Herbarium and Literature Database 19/02/2013,EIRE000100003NF3,
Hordeum secalinum,Meadow Barley,15/07/1877,1877,S22,S2423,S2423,Clonmel,Meadow by the suir opposite Annermills House,Herbarium and Literature Database 19/02/2013,EIRE000100003NF4,
Hydrilla verticillata,Hydrilla,21/08/1988,1988,L66,L6764,L674640,Rusheenduff Lough,Western sector,Herbarium and Literature Database 19/02/2013,EIRE000100003NF5,
Hydrilla verticillata,Hydrilla,02/11/1975,1975,L66,L6763,L675635,Rusheenduff Lough,Renvyle,Herbarium and Literature Database 19/02/2013,EIRE000100003NF6,
Hydrilla verticillata,Hydrilla,01/08/1976,1976,L66,L6763,L675635,Rusheenduff Lough,Renvyle,Herbarium and Literature Database 19/02/2013,EIRE000100003NF7,
Hydrilla verticillata,Hydrilla,13/09/1977,1977,L66,L6763,L675635,Rusheenduff Lough,Renvyle,Herbarium and Literature Database 19/02/2013,EIRE000100003NF8,
Hydrilla verticillata,Hydrilla,02/09/1984,1984,L66,L6763,L675635,Rusheenduff Lough,Renvyle,Herbarium and Literature Database 19/02/2013,EIRE000100003NF9,
Hydrilla verticillata,Hydrilla,22/09/1935,1935,L66,L6763,L675635,Renvyle Lough,", little lough by the sea, Connemara",Herbarium and Literature Database 19/02/2013,EIRE000100003NFA,
Hydrilla verticillata,Hydrilla,Aug-37,1937,L66,L6763,L675635,Renvyle Lough,Shallow water,Herbarium and Literature Database 19/02/2013,EIRE000100003NFB,
Hydrilla verticillata,Hydrilla,31/07/1969,1969,L66,L6763,L675635,Renvyle Lough,N. shore,Herbarium and Literature Database 19/02/2013,EIRE000100003NFC,
Hydrilla verticillata,Hydrilla,10/09/1973,1973,L66,L6763,L675635,Renvyle Lough,NW of Clifden,Herbarium and Literature Database 19/02/2013,EIRE000100003NFD,
Hydrilla verticillata,Hydrilla,Aug-74,1974,L66,L6763,L675635,Renvyle Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NFE,
Hydrilla verticillata,Hydrilla,19/09/1975,1975,L66,L6763,L675635,Renvyle Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NFF,
Hydrilla verticillata,Hydrilla,01/08/1976,1976,L66,L6763,L675635,Renvyle Lough,"On shore of lake between stones, 2-3 inches in depth, growing in shallow water",Herbarium and Literature Database 19/02/2013,EIRE000100003NFG,
Hydrilla verticillata,Hydrilla,01/08/1976,1976,L66,L6763,L675635,Renvyle Lough,"On stony shore, growing between stones in 3 inches of water",Herbarium and Literature Database 19/02/2013,EIRE000100003NFH,
Hydrilla verticillata,Hydrilla,Oct-78,1978,L66,L6763,L675635,Renvyle Lough,In lake water,Herbarium and Literature Database 19/02/2013,EIRE000100003NFI,
Hydrilla verticillata,Hydrilla,17/08/1979,1979,L66,L6763,L675635,Renvyle Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NFJ,
Hydrilla verticillata,Hydrilla,14/09/1979,1979,L66,L6763,L675635,Renvyle Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NFK,
Hydrilla verticillata,Hydrilla,09/08/1991,1991,L66,L6764,L6764,Renvyle Lough,By hotel,Herbarium and Literature Database 19/02/2013,EIRE000100003NFL,
Hydrilla verticillata,Hydrilla,08/09/1991,1991,L66,L6764,L6764,Renvyle Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NFM,
Hydrilla verticillata,Hydrilla,09/08/2004,2004,L65,L6458,L648581,Ballinakill Lough,About 5km SSW of the known site at Rusheenduff Lough,Herbarium and Literature Database 19/02/2013,EIRE000100003NFN,
Hydrilla verticillata,Hydrilla,Aug-04,2004,L65,,L65,Ballinakill Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NFO,
Hydrilla verticillata,Hydrilla,10/08/2005,2005,L65,,L65,Ballinakill Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NFP,
Hypericum hirsutum,Hairy St John's-wort,1939,1939,O14,O1640,O1640,Santry,Santry Court Woods,Herbarium and Literature Database 19/02/2013,EIRE000100003NFX,
Hypericum hirsutum,Hairy St John's-wort,1989,1989,O14,O1640,O1640,Santry,"Santry Woods, East side",Herbarium and Literature Database 19/02/2013,EIRE000100003NFY,
Hypericum hirsutum,Hairy St John's-wort,05/07/1896,1896,N86,,N86,Near Navan,Hedge,Herbarium and Literature Database 19/02/2013,EIRE000100003NFZ,
Hypericum hirsutum,Hairy St John's-wort,05/07/1896,1896,N86,,N86,Near Navan,Hedgebank,Herbarium and Literature Database 19/02/2013,EIRE000100003NG0,
Hypericum hirsutum,Hairy St John's-wort,05/07/1896,1896,N86,,N86,Near Navan,Hedgerow,Herbarium and Literature Database 19/02/2013,EIRE000100003NG1,
Inula salicina,Irish Fleabane,1899,1899,R78,,,"Youghal Bay, Lough Derg",,Herbarium and Literature Database 19/02/2013,EIRE000100003NGE,Yes
Hordeum secalinum,Meadow Barley,1989,1989,O24,,O24,Baldoyle,In a field and salt-marsh beside the Mayne River,Herbarium and Literature Database 19/02/2013,EIRE000100003NGN,
Hordeum secalinum,Meadow Barley,1991,1991,O24,,O24,Baldoyle,In a field and salt-marsh beside the Mayne River,Herbarium and Literature Database 19/02/2013,EIRE000100003NGO,
Hordeum secalinum,Meadow Barley,1991,1991,O24,,O24,Baldoyle,In a field and salt-marsh beside the Mayne River,Herbarium and Literature Database 19/02/2013,EIRE000100003NGP,
Hordeum secalinum,Meadow Barley,22/07/1988,1988,R35,R3353,R3353,Mantlehill,,Herbarium and Literature Database 19/02/2013,EIRE000100003NGR,
Hypericum hirsutum,Hairy St John's-wort,1983,1983,O03,O0338,O0338,Barnhill Bridge,Barnhill Bridge over a disused branch of the Great Southern Railway,Herbarium and Literature Database 19/02/2013,EIRE000100003NGS,
Hordeum secalinum,Meadow Barley,09/07/1988,1988,R35,,R35,Askeaton,"North of, grassy sward beside saltmarsh",Herbarium and Literature Database 19/02/2013,EIRE000100003NGU,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,10/04/1964,1964,V72,,V72,Crookhaven,Cliff above Crookhaven,Herbarium and Literature Database 19/02/2013,EIRE000100003NHE,
Mentha pulegium,Pennyroyal,June 1850,1850,W76,,,Great Island,,Herbarium and Literature Database 19/02/2013,EIRE000100003NHF,Yes
Mentha pulegium,Pennyroyal,September 1850,1850,W76,,,Great Island,,Herbarium and Literature Database 19/02/2013,EIRE000100003NHG,Yes
Mentha pulegium,Pennyroyal,September 1850,1850,W77,,,Great Island,"Cork, Great Island at Belvelly",Herbarium and Literature Database 19/02/2013,EIRE000100003NHH,Yes
Mertensia maritima,Oysterplant,08/09/1989,1989,C34,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NID,Yes
Mertensia maritima,Oysterplant,24/08/1995,1995,C35,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NIE,Yes
Mertensia maritima,Oysterplant,08/09/1989,1989,C35,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NIF,Yes
Lycopodiella inundata,Marsh Clubmoss,20/07/1967,1967,M06,,M06,Lough Mask,"S. of Tourmakeady, w. shore, sandy wet pasture",Herbarium and Literature Database 19/02/2013,EIRE000100003NIG,
Lycopodiella inundata,Marsh Clubmoss,26/07/1980,1980,M06,,M06,Lough Mask,West shore,Herbarium and Literature Database 19/02/2013,EIRE000100003NIH,
Mertensia maritima,Oysterplant,1868,1868,O30,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NII,Yes
Mertensia maritima,Oysterplant,1868,1868,O30,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NIJ,Yes
Mertensia maritima,Oysterplant,30/08/1869,1869,O30,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NIK,Yes
Lotus subbiflorus,Hairy Bird's-foot-trefoil,23/08/1990,1990,T12,T1028,T1028,Screen Hills,N. of Doolough,Herbarium and Literature Database 19/02/2013,EIRE000100003NIL,
Limosella aquatica,Mudwort,1985,1985,M40,M4304,M430040,Coole Lough,"Coole Lough system, NE of Gort, at Coole Lough",Herbarium and Literature Database 19/02/2013,EIRE000100003NIW,
Mentha pulegium,Pennyroyal,1949,1949,W02,,,Sherkin island,,Herbarium and Literature Database 19/02/2013,EIRE000100003NIZ,Yes
Lotus subbiflorus,Hairy Bird's-foot-trefoil,02/06/1975,1975,W02,,W02,Sherkin island,,Herbarium and Literature Database 19/02/2013,EIRE000100003NJ1,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,1992,1992,W02,,W02,Sherkin island,Foardree,Herbarium and Literature Database 19/02/2013,EIRE000100003NJ2,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,30/05/1992,1992,W02,,W02,Sherkin island,Foardree,Herbarium and Literature Database 19/02/2013,EIRE000100003NJ3,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,30/05/1992,1992,W02,,W02,Sherkin island,Horseshoe Bay,Herbarium and Literature Database 19/02/2013,EIRE000100003NJ4,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,1994,1994,W02,,W02,Sherkin island,Foardree,Herbarium and Literature Database 19/02/2013,EIRE000100003NJ5,
Limosella aquatica,Mudwort,Sep-76,1976,W36,,W36,Gearagh,,Herbarium and Literature Database 19/02/2013,EIRE000100003NJA,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,Jul-90,1990,T11,,T11,Rosslare,Rosslare Harbour (T11),Herbarium and Literature Database 19/02/2013,EIRE000100003NJB,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,05/07/1989,1989,T11,T1212,T1212,Rosslare,"Harbour, by Great Southern Hotel T13-12",Herbarium and Literature Database 19/02/2013,EIRE000100003NJC,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,25/06/2010,2010,T11,T1312,T1312,Rosslare,"St Helen's Hotel, Rosslare Harbour, lawns",Herbarium and Literature Database 19/02/2013,EIRE000100003NJD,
Mentha pulegium,Pennyroyal,1811,1811,V95,,,Glengariff,,Herbarium and Literature Database 19/02/2013,EIRE000100003NJP,Yes
Limosella aquatica,Mudwort,1984,1984,R38,R3188,R310880,Lough Atedaun,On a parched mud-bank of R. Fergus,Herbarium and Literature Database 19/02/2013,EIRE000100003NJQ,
Limosella aquatica,Mudwort,1985,1985,R38,R3188,R310880,Lough Atedaun,Banks of the river Fergus,Herbarium and Literature Database 19/02/2013,EIRE000100003NJR,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,04/06/1953,1953,V92,,V92,Cape Clear Island,several places on Cape Clear,Herbarium and Literature Database 19/02/2013,EIRE000100003NJS,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,29/06/1953,1953,V92,,V92,Cape Clear Island,In a steep narrow glen on the perpendicular rocky side away from houses and tilled fields,Herbarium and Literature Database 19/02/2013,EIRE000100003NJT,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,18/07/1963,1963,V92,,V92,Cape Clear Island,Rocky outcrops,Herbarium and Literature Database 19/02/2013,EIRE000100003NJU,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,17/07/1964,1964,V92,,V92,Cape Clear Island,Cape Clear roadside,Herbarium and Literature Database 19/02/2013,EIRE000100003NJV,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,19/07/1993,1993,V92,,V92,Cape Clear Island,"South Harbour, in Roaringwater Bay",Herbarium and Literature Database 19/02/2013,EIRE000100003NJW,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,1994,1994,V92,,V92,Cape Clear Island,East Pier,Herbarium and Literature Database 19/02/2013,EIRE000100003NJX,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,1994,1994,V92,,V92,Cape Clear Island,Lough Errul,Herbarium and Literature Database 19/02/2013,EIRE000100003NJY,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,1994,1994,V92,,V92,Cape Clear Island,South Harbour,Herbarium and Literature Database 19/02/2013,EIRE000100003NJZ,
Limosella aquatica,Mudwort,21/10/2001,2001,W57,W5272,W5272,2.5 km upriver of Inniscarra Dam,Amenity Boating area,Herbarium and Literature Database 19/02/2013,EIRE000100003NKB,
Limosella aquatica,Mudwort,1995,1995,W47,,W47,Below Carrigadrohid Bridge,The Resevoir basin below Carrigadrohid Bridge,Herbarium and Literature Database 19/02/2013,EIRE000100003NKE,
Mertensia maritima,Oysterplant,June 1880,1880,O30,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NKH,Yes
Mertensia maritima,Oysterplant,June 1880,1880,O30,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NKI,Yes
Limosella aquatica,Mudwort,20/09/1976,1976,M40,,M40,Caherglassaun Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NKK,
Mibora minima,Early Sand-grass,15/05/2005,2005,V72,V7625,V7625,Cannawee dune-system,"Eastern section, at Barley Cove, near Mizen Head",Herbarium and Literature Database 19/02/2013,EIRE000100003NKL,
Mibora minima,Early Sand-grass,07/06/2005,2005,V72,V7625,V7625,Cannawee dune-system,"Eastern section, at Barley Cove, near Mizen Head",Herbarium and Literature Database 19/02/2013,EIRE000100003NKM,
Mibora minima,Early Sand-grass,07/06/2005,2005,V72,V7625,V7625,Cannawee dune-system,"Eastern section, at Barley Cove, near Mizen Head",Herbarium and Literature Database 19/02/2013,EIRE000100003NKN,
Mibora minima,Early Sand-grass,14/04/2006,2006,V72,V7625,V7625,Cannawee dune-system,Barley Cove,Herbarium and Literature Database 19/02/2013,EIRE000100003NKO,
Mertensia maritima,Oysterplant,25/08/1985,1985,C04,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NKZ,Yes
Mertensia maritima,Oysterplant,21/08/1986,1986,C04,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NL0,Yes
Mertensia maritima,Oysterplant,14/07/1988,1988,C04,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NL1,Yes
Mertensia maritima,Oysterplant,Aug-89,1989,C04,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NL2,Yes
Mertensia maritima,Oysterplant,08/09/1989,1989,C04,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NL3,Yes
Limosella aquatica,Mudwort,1985,1985,W37,,W37,Downstream of the Gearagh Woodland,Near Macroom,Herbarium and Literature Database 19/02/2013,EIRE000100003NL4,
Limosella aquatica,Mudwort,31/07/1998,1998,W37,W3471,W3471,Lee Bridge,,Herbarium and Literature Database 19/02/2013,EIRE000100003NLC,
Limosella aquatica,Mudwort,11/10/2001,2001,W37,W3571,W3571,Lee Reservoir,"Picnic Site, immediately south of Hartnett's Cross",Herbarium and Literature Database 19/02/2013,EIRE000100003NLD,
Limosella aquatica,Mudwort,11/10/2001,2001,W36,W3769,W3769,Lee Reservoir,Nearby (03140) right bank,Herbarium and Literature Database 19/02/2013,EIRE000100003NLE,
Limosella aquatica,Mudwort,11/10/2001,2001,W36,W3868,W3868,Lee Reservoir,From the pond-like culvert to the south-east of Macroom,Herbarium and Literature Database 19/02/2013,EIRE000100003NLF,
Limosella aquatica,Mudwort,11/10/2001,2001,W37,W3870,W3870,Lee Reservoir,On the right bank opposite Rossnascalp,Herbarium and Literature Database 19/02/2013,EIRE000100003NLG,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,Sep-90,1990,T12,,T12,Near Doo Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NLN,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,May-91,1991,T12,,T12,Near Doo Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NLO,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,Jul-91,1991,T12,,T12,Near Doo Lough,,Herbarium and Literature Database 19/02/2013,EIRE000100003NLP,
Mertensia maritima,Oysterplant,August 1868,1868,O30,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NLQ,Yes
Mertensia maritima,Oysterplant,1877,1877,O30,,,Details held by NPWS,,Herbarium and Literature Database 19/02/2013,EIRE000100003NLR,Yes
Limosella aquatica,Mudwort,May-85,1985,R09,R0597,R058973,NW of Fisherstreet,Limestone pavement,Herbarium and Literature Database 19/02/2013,EIRE000100003NLU,
Limosella aquatica,Mudwort,May-85,1985,R09,R0597,R058973,NW of Fisherstreet,Limestone pavement,Herbarium and Literature Database 19/02/2013,EIRE000100003NLV,
Limosella aquatica,Mudwort,01/09/2004,2004,W47,W4571,W4571,River Lee Reservoir,,Herbarium and Literature Database 19/02/2013,EIRE000100003NLZ,
Limosella aquatica,Mudwort,01/09/2004,2004,W47,W4671,W4671,River Lee Reservoir,,Herbarium and Literature Database 19/02/2013,EIRE000100003NM0,
Limosella aquatica,Mudwort,31/08/1984,1984,W37,W3671,W364715,River Lee Valley,"Near Ashton, Macroom",Herbarium and Literature Database 19/02/2013,EIRE000100003NM1,
Limosella aquatica,Mudwort,30/08/1984,1984,W36,W3868,W3868,River Lee Valley,Near Knockaunnacrohy on the Cork-Macroom road,Herbarium and Literature Database 19/02/2013,EIRE000100003NM2,
Limosella aquatica,Mudwort,1900,1900,R09,R0797,R0797,Roadford,Near Fisherstreet,Herbarium and Literature Database 19/02/2013,EIRE000100003NM3,
Mentha pulegium,Pennyroyal,August 1887,1887,V98,,,Sherehee,,Herbarium and Literature Database 19/02/2013,EIRE000100003NM7,Yes
