Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Hypericum canadense,Irish St John's-wort,28/07/2004,2004,M07,M0670,M062703,"Partry Mountains, Co. Mayo",Partry Mountains,Miscellaneous NPWS Records,DSS00520000007G9,
Hypericum canadense,Irish St John's-wort,26/07/2004,2004,M07,M0973,M099731,"Shangort, Srah, Co. Mayo",Shangort above Srah,Miscellaneous NPWS Records,DSS00520000007GB,
Hypericum canadense,Irish St John's-wort,28/07/2004,2004,M17,M1272,M125726,"Near Srah, Co. Mayo",Near Srah,Miscellaneous NPWS Records,DSS00520000007GC,
Hypericum canadense,Irish St John's-wort,28/07/2004,2004,M17,M1272,M127724,"Near Srah, Co. Mayo",Near Srah,Miscellaneous NPWS Records,DSS00520000007GD,
Hypericum canadense,Irish St John's-wort,22/07/2004,2004,M07,M0470,M048708,"Gleannagashleeny, Co. Mayo",Gleannagashleeny,Miscellaneous NPWS Records,DSS00520000007GE,
Hypericum canadense,Irish St John's-wort,22/07/2004,2004,M07,M0470,M043707,"Gleannagashleeny, Co. Mayo",Near Gleannagashleeny,Miscellaneous NPWS Records,DSS00520000007GF,
Hypericum canadense,Irish St John's-wort,24/07/2004,2004,M07,M0371,M035716,"Croaghrimbeg, Co. Mayo",Croaghrimbeg,Miscellaneous NPWS Records,DSS00520000007GG,
Hypericum canadense,Irish St John's-wort,28/07/2004,2004,M07,M0272,M028723,"Croaghrimbeg, Co. Mayo",Near Croaghrimbeg,Miscellaneous NPWS Records,DSS00520000007GH,
Hypericum canadense,Irish St John's-wort,28/07/2004,2004,M07,M0072,M006722,"Derinkee, Co. Mayo","Cross River, nr. Derinkee",Miscellaneous NPWS Records,DSS00520000007GI,
Hypericum canadense,Irish St John's-wort,28/07/2004,2004,M07,M0072,M003722,"Derinkee, Co. Mayo","Cross River, nr. Derinkee",Miscellaneous NPWS Records,DSS00520000007GJ,
Hypericum canadense,Irish St John's-wort,28/07/2004,2004,L97,L9972,L999721,"Derinkee, Co. Mayo","Cross River, nr. Derinkee",Miscellaneous NPWS Records,DSS00520000007GK,
Hypericum canadense,Irish St John's-wort,26/07/2004,2004,M06,M0663,M062631,"Gortmore, Co. Mayo",Gortmore,Miscellaneous NPWS Records,DSS00520000007GL,
Hypericum canadense,Irish St John's-wort,27/07/2004,2004,M06,M0160,M017604,"Glenbeg, Lough Mask, Co. Mayo",Glenbeg,Miscellaneous NPWS Records,DSS00520000007GM,
Lycopodiella inundata,Marsh Clubmoss,27/07/2004,2004,M06,M0160,M017604,"Glenbeg, Lough Mask, Co. Mayo",Glenbeg,Miscellaneous NPWS Records,DSS00520000007GN,
